"","gnd_id","author","title","date","link"
"55857","http://d-nb.info/gnd/118723618","Kurt Kluge","Der Herr Kortüm",1938,"https://kolimo.uni-goettingen.de/text.html?id=gb8979"
"61820","http://d-nb.info/gnd/118728814","Oskar Loerke","Anton Bruckner",1938,"https://kolimo.uni-goettingen.de/text.html?id=gb2993"
"77388","http://d-nb.info/gnd/118637479","Stefan Zweig","Triumph und Tragik …",1938,"https://kolimo.uni-goettingen.de/text.html?id=gb6030"
"77395","http://d-nb.info/gnd/118637479","Stefan Zweig","Magellan",1938,"https://kolimo.uni-goettingen.de/text.html?id=gb6023"
"28433","http://d-nb.info/gnd/118535315","Sigmund Freud","Die endliche und di…",1937,"https://kolimo.uni-goettingen.de/text.html?id=gb12343"
"28473","http://d-nb.info/gnd/118535315","Sigmund Freud","Konstruktionen in d…",1937,"https://kolimo.uni-goettingen.de/text.html?id=gb12322"
"48045","http://d-nb.info/gnd/118563238","Jochen Klepper","Der Vater",1937,"https://kolimo.uni-goettingen.de/text.html?id=gb11583"
"48252","http://d-nb.info/gnd/118603140","Joseph Roth","Das falsche Gewicht",1937,"https://kolimo.uni-goettingen.de/text.html?id=gb15395"
"64448","http://d-nb.info/gnd/118585916","Robert Musil","Über die Dummheit",1937,"https://kolimo.uni-goettingen.de/text.html?id=gb15574"
"9219","http://d-nb.info/gnd/118795392","Scholem Alejchem","Eine Hochzeit ohne …",1936,"https://kolimo.uni-goettingen.de/text.html?id=gb17023"
"25012","http://d-nb.info/gnd/118535560","Egon Friedell","Kulturgeschichte de…",1936,"https://kolimo.uni-goettingen.de/text.html?id=gb8504"
"25878","http://d-nb.info/gnd/118623230","Ernst Toller","Eine Jugend in Deut…",1936,"https://kolimo.uni-goettingen.de/text.html?id=gb11678"
"28450","http://d-nb.info/gnd/118535315","Sigmund Freud","Brief an Romain Rol…",1936,"https://kolimo.uni-goettingen.de/text.html?id=gb12301"
"40642","http://d-nb.info/gnd/118731254","Hugo Marti","Eine Kindheit",1936,"https://kolimo.uni-goettingen.de/text.html?id=gb2963"
"41291","http://d-nb.info/gnd/118862944","Korfiz Holm","Mehr Glück als Vers…",1936,"https://kolimo.uni-goettingen.de/text.html?id=gb5629"
"48262","http://d-nb.info/gnd/118603140","Joseph Roth","Beichte eines Mörde…",1936,"https://kolimo.uni-goettingen.de/text.html?id=gb15408"
"64449","http://d-nb.info/gnd/118585916","Robert Musil","Nachlaß zu Lebzeiten",1936,"https://kolimo.uni-goettingen.de/text.html?id=gb15582"
"69112","http://d-nb.info/gnd/133251381","Robert Seitz","Die Liebe, alt wie …",1936,"https://kolimo.uni-goettingen.de/text.html?id=gb5928"
"69357","http://d-nb.info/gnd/118605526","Rahel Sanzara","Die glückliche Hand",1936,"https://kolimo.uni-goettingen.de/text.html?id=gb1624"
"77377","http://d-nb.info/gnd/118637479","Stefan Zweig","Castellio gegen Cal…",1936,"https://kolimo.uni-goettingen.de/text.html?id=gb6038"
"28296","http://d-nb.info/gnd/118737732","Fritz Müller-Parten…","Die Firma",1935,"https://kolimo.uni-goettingen.de/text.html?id=gb11668"
"40640","http://d-nb.info/gnd/118731254","Hugo Marti","Rudolf von Tavel - …",1935,"https://kolimo.uni-goettingen.de/text.html?id=gb2962"
"40645","http://d-nb.info/gnd/118731254","Hugo Marti","Davoser Stundenbuch",1935,"https://kolimo.uni-goettingen.de/text.html?id=gb2956"
"55855","http://d-nb.info/gnd/118723618","Kurt Kluge","Die gefälschte Gött…",1935,"https://kolimo.uni-goettingen.de/text.html?id=gb8980"
"60929","http://d-nb.info/gnd/1027233732","Oswald Levett","Papilio Mariposa",1935,"https://kolimo.uni-goettingen.de/text.html?id=gb16817"
"64603","http://d-nb.info/gnd/116836776","Manfred Schneider","Don Francsico de Go…",1935,"https://kolimo.uni-goettingen.de/text.html?id=gb7733"
"69110","http://d-nb.info/gnd/133251381","Robert Seitz","Die Häuser am Kolk",1935,"https://kolimo.uni-goettingen.de/text.html?id=gb5925"
"9652","http://d-nb.info/gnd/118997718","Annemarie Schwarzen…","Winter in Vorderasi…",1934,"https://kolimo.uni-goettingen.de/text.html?id=gb2969"
"25214","http://d-nb.info/gnd/118530909","Paul Ernst","Tagebuch eines Dich…",1934,"https://kolimo.uni-goettingen.de/text.html?id=gb16863"
"25526","http://d-nb.info/gnd/118630458","Ernst Weiß","Die Vaterlosen oder…",1934,"https://kolimo.uni-goettingen.de/text.html?id=gb20066"
"25701","http://d-nb.info/gnd/11861956X","Eduard Stucken","Die weißen Götter –…",1934,"https://kolimo.uni-goettingen.de/text.html?id=gb15571"
"29078","http://d-nb.info/gnd/118685619","Kurt Faber","Unter Eskimos und W…",1934,"https://kolimo.uni-goettingen.de/text.html?id=gb2043"
